,question,answer,query_duration,answer_present,average_precision
0,which is the most common use of opt-in e-mail marketing,a newsletter sent to an advertising firm 's customers,4634,1,1.0
1,how i.met your mother who is the mother,Tracy McConnell,4899,1,1.0
2,who had the most wins in the nfl,Tom Brady,4632,0,0.0
3,who played mantis guardians of the galaxy 2,Pom Klementieff,4601,1,1.0
4,the nashville sound brought a polished and cosmopolitan sound to country music by,"the use of lush string arrangements with a real orchestra and often , background vocals provided by a choir",4842,1,1.0
5,who needs to be in the car with a permit driver,an adult licensed driver who is at least 21 years of age or older and in the passenger seat of the vehicle at all times,4603,1,1.0
6,god's not dead a light in the darkness release date,"March 30 , 2018",4583,1,1.0
7,who is the current president of un general assembly,Miroslav Lajčák of Slovakia,4588,1,1.0
8,when do they pull the powerball numbers 2016,every Wednesday and Saturday evening at 10 : 59 p.m. Eastern Time,259,1,1.0
9,what is the name of the sea surrounding dubai,Persian Gulf,259,1,1.0
10,when did the new maze runner movie come out,"January 26 , 2018",258,1,1.0
11,how many players on a box lacrosse team,six,251,1,1.0
12,where are the upcoming olympics to be held,Los Angeles for the 2028 Summer Olympics,311,1,1.0
13,where are the upcoming olympics to be held,Tokyo for the 2020 Summer Olympics,321,1,1.0
14,where are the upcoming olympics to be held,Beijing for the 2022 Winter Olympics,62,1,1.0
15,where are the upcoming olympics to be held,Paris for the 2024 Summer Olympics,75,1,1.0
16,when did the nba 3 second rule start,1936,105,0,0.0
17,when did usa start driving on the right,late 1700s,109,0,0.0
18,name some components of the central nervous system (cns),spinal cord,130,1,1.0
19,name some components of the central nervous system (cns),brain,76,1,1.0
20,who's the director of the price is right,Adam Sandler,47,0,0.0
21,bridge on the river kwai fact or fiction,fiction,55,1,1.0
22,why did argentina attack the falklands/malvinas islands,an attempt to establish the sovereignty it had claimed over them,50,0,0.0
23,what teams are in the fa cup final,Chelsea,54,1,1.0
24,what teams are in the fa cup final,Manchester United,41,1,1.0
25,where is a midsummer night's dream set,in the woodland and in the realm of Fairyland,27,1,1.0
26,who is the first person who went to moon,Neil Alden Armstrong,55,0,0.0
27,are pure metals made of atoms or ions,atoms,56,1,1.0
28,movement of molecules across a membrane powered by atp,primary active transport,54,0,0.0
29,who sold manhattan to the dutch in 1626,"Seyseys , chief of the Canarsees",34,1,1.0
30,what year did the movie deuces come out,2017,72,0,0.0
31,who is the present sport minister of india,Rajyavardhan Singh Rathore,39,1,1.0
32,where was life or something like it filmed,downtown Vancouver,50,1,1.0
33,where was life or something like it filmed,"Seattle , Washington",41,1,1.0
34,the highest post in police department of karnataka state is,The Director General and Inspector General of Police ( DG&IGP ),35,1,1.0
35,where is the best farming soil in the us and where did all the dirt come from,from an ancient glacial lake bottom augmented by decades of past flooding of the Wallkill River,129,1,1.0
36,where is the best farming soil in the us and where did all the dirt come from,The Black Dirt Region,101,1,1.0
37,the pair of hand drums used in indian classical music is called,tabla,74,1,1.0
38,where does the term petty officer come from,Age of Sail,54,1,1.0
39,where is israel located on the world map,"the Middle East , on the southeastern shore of the Mediterranean Sea and the northern shore of the Red Sea",52,0,0.0
40,who played smiley in tinker tailor soldier spy,Gary Oldman,53,1,1.0
41,when does brennan get pregnant the first time,season six finale,44,1,1.0
42,what causes a dead zone in the ocean,excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen,36,1,1.0
43,who is the present governor of puerto rico,Alejandro Javier García Padilla,29,0,0.0
44,what affect does acetylcholine have on the sarcolemma,"can depolarize the muscle fiber , causing a cascade that eventually results in muscle contraction",30,1,1.0
45,who plays claire underwood's mom on house of cards,Ellen Burstyn,45,0,0.0
46,who won the all ireland football final 2017,Dublin,53,1,1.0
47,who played robbie douglas wife on my three sons,Tina Cole,44,1,1.0
48,the most common system of land title in australia,Torrens title,63,0,0.0
49,who sings with jackson brown on the load out,David Lindley,17,1,1.0
50,who sings with jackson brown on the load out,Rosemary Butler,53,1,1.0
51,what happens to dr shepherd on grey's,a fatal car accident,37,1,1.0
52,when does book 2 of the 100 come out,"on September 25 , 2014",40,0,0.0
53,when did the nissan armada body style change,2016,33,1,1.0
54,where does the name down syndrome come from,"John Langdon Down , the British doctor who fully described the syndrome in 1866",63,1,1.0
55,the number on kiss me thru the phone,678 - 999 - 8212,38,1,1.0
56,when does the regular football season start for nfl,"September 7 , 2017",44,0,0.0
57,who sold more albums elvis or micheal jackson,Michael Jackson,21,1,1.0
58,when was the great pyramid of giza created,10 to 20 - year period concluding around 2560 BC,30,1,1.0
59,who sang theres a rat in my kitchen,UB40,42,1,1.0
60,the contribution of agriculture in india's gross domestic product is,13.7 % of the GDP,19,0,0.0
61,who's doing the halftime show in 2018,Justin Timberlake,58,1,1.0
62,when was the first freeway built in los angeles,1940,60,1,1.0
63,when was the wizard of oz made in technicolor,1939,20,1,1.0
64,who played warren in orange is the new black,Uzoamaka Nwanneka `` Uzo '' Aduba,45,0,0.0
65,where did the bataan death march take place,"from Saysain Point , Bagac , Bataan and Mariveles to Camp O'Donnell , Capas , Tarlac , via San Fernando , Pampanga , where the prisoners were loaded onto trains",46,1,1.0
66,where do they put the chip in dogs,usually inserted below the skin at the back of the neck between the shoulder blades on the dorsal midline,36,0,0.0
67,how long will it take voyager to pass through the oort cloud,"about 30,000 years",33,1,1.0
68,an idiopathic condition associated with asprin treatment during certain viral infections,Reye syndrome,49,0,0.0
69,what is the difference between devil's food and chocolate,traditionally has more chocolate than a regular chocolate cake,46,0,0.0
70,who is mariah carey talking about in we belong together,her 1993 marriage to Tommy Mottola,48,1,1.0
71,where is the original statue of david in italy,Florence 's Galleria dell'Accademia,34,0,0.0
72,when did the teton dam break in idaho,"June 5 , 1976",22,1,1.0
73,when was the movie stand by me made,1986,22,1,1.0
74,is the eiffel tower made of steel or iron,wrought iron,25,1,1.0
75,what is the name of the youth loved by salmacis,Hermaphroditus,34,1,1.0
76,what film has the song don't you forget about me,The Breakfast Club,74,1,1.0
77,when was the last time mount saint helens exploded,"May 18 , 1980",50,1,1.0
78,how many 7 elevens are in the world,"66,579",34,1,1.0
79,when do booth and brennan become a couple,At the start of Season 7,30,0,0.0
80,who sang nice one cyril nice one son,Cockerel Chorus,34,1,1.0
81,who sang red red wine in the 80's,Neil Diamond,41,1,1.0
82,who wrote the christmas carol do you hear what i hear,Gloria Shayne Baker,15,1,1.0
83,who wrote the christmas carol do you hear what i hear,Noël Regney,84,1,1.0
84,who plays olivia benson on law and order,Mariska Magdolna Hargitay,20,0,0.0
85,how many copies did fifty shades of grey sell,over 125 million copies,38,1,1.0
86,when was the city of green bay founded,1634,47,1,1.0
87,where do the ilium the ischium and the pubis meet,acetabulum,26,1,1.0
88,who is the founder of pak n save,Foodstuffs,26,1,1.0
89,how many species of plants are found in india,"more than 50,000",24,0,0.0
90,which non-british company owns both the famous british rolls- royce and mini brands,BMW,45,0,0.0
91,how many times have the dodgers gone to world series,19,71,1,1.0
92,at what level is the clavicle with reference to the ribs,directly above the first rib,13,1,1.0
93,when was the writ of habeas corpus created,1679,58,1,1.0
94,where are they playing the john deere classic golf tournament,"TPC Deere Run in the Quad Cities community of Silvis , Illinois",36,1,1.0
95,what types of elements are involved in covalent bonding,atoms,54,1,1.0
96,what types of elements are involved in covalent bonding,electron,23,1,1.0
97,name the highest bridge in the world built by indian army,Baily Bridge,32,1,1.0
98,who wrote an article on war finance titled how to pay for the war,John Maynard Keynes,91,0,0.0
