,question,answer,query_duration,answer_present,average_precision
0,which is the most common use of opt-in e-mail marketing,a newsletter sent to an advertising firm 's customers,5,1,1.0
1,how i.met your mother who is the mother,Tracy McConnell,3,1,1.0
2,who had the most wins in the nfl,Tom Brady,6,0,0.0
3,who played mantis guardians of the galaxy 2,Pom Klementieff,3,1,1.0
4,the nashville sound brought a polished and cosmopolitan sound to country music by,"the use of lush string arrangements with a real orchestra and often , background vocals provided by a choir",3,1,1.0
5,who needs to be in the car with a permit driver,an adult licensed driver who is at least 21 years of age or older and in the passenger seat of the vehicle at all times,6,1,1.0
6,god's not dead a light in the darkness release date,"March 30 , 2018",3,1,1.0
7,who is the current president of un general assembly,Miroslav Lajčák of Slovakia,4,1,1.0
8,when do they pull the powerball numbers 2016,every Wednesday and Saturday evening at 10 : 59 p.m. Eastern Time,7,1,1.0
9,what is the name of the sea surrounding dubai,Persian Gulf,3,1,1.0
10,when did the new maze runner movie come out,"January 26 , 2018",5,1,1.0
11,how many players on a box lacrosse team,six,4,1,1.0
12,where are the upcoming olympics to be held,Los Angeles for the 2028 Summer Olympics,3,1,1.0
13,where are the upcoming olympics to be held,Tokyo for the 2020 Summer Olympics,3,1,1.0
14,where are the upcoming olympics to be held,Beijing for the 2022 Winter Olympics,3,1,1.0
15,where are the upcoming olympics to be held,Paris for the 2024 Summer Olympics,9,1,1.0
16,when did the nba 3 second rule start,1936,6,0,0.0
17,when did usa start driving on the right,late 1700s,5,0,0.0
18,name some components of the central nervous system (cns),spinal cord,4,1,1.0
19,name some components of the central nervous system (cns),brain,4,1,1.0
20,who's the director of the price is right,Adam Sandler,2,0,0.0
21,bridge on the river kwai fact or fiction,fiction,6,1,1.0
22,why did argentina attack the falklands/malvinas islands,an attempt to establish the sovereignty it had claimed over them,3,0,0.0
23,what teams are in the fa cup final,Chelsea,3,1,1.0
24,what teams are in the fa cup final,Manchester United,3,1,1.0
25,where is a midsummer night's dream set,in the woodland and in the realm of Fairyland,3,1,1.0
26,who is the first person who went to moon,Neil Alden Armstrong,4,0,0.0
27,are pure metals made of atoms or ions,atoms,3,1,1.0
28,movement of molecules across a membrane powered by atp,primary active transport,5,0,0.0
29,who sold manhattan to the dutch in 1626,"Seyseys , chief of the Canarsees",3,1,1.0
30,what year did the movie deuces come out,2017,5,0,0.0
31,who is the present sport minister of india,Rajyavardhan Singh Rathore,4,1,1.0
32,where was life or something like it filmed,downtown Vancouver,4,1,1.0
33,where was life or something like it filmed,"Seattle , Washington",6,1,1.0
34,the highest post in police department of karnataka state is,The Director General and Inspector General of Police ( DG&IGP ),4,1,1.0
35,where is the best farming soil in the us and where did all the dirt come from,from an ancient glacial lake bottom augmented by decades of past flooding of the Wallkill River,15,1,1.0
36,where is the best farming soil in the us and where did all the dirt come from,The Black Dirt Region,9,1,1.0
37,the pair of hand drums used in indian classical music is called,tabla,10,1,1.0
38,where does the term petty officer come from,Age of Sail,5,1,1.0
39,where is israel located on the world map,"the Middle East , on the southeastern shore of the Mediterranean Sea and the northern shore of the Red Sea",4,0,0.0
40,who played smiley in tinker tailor soldier spy,Gary Oldman,3,1,1.0
41,when does brennan get pregnant the first time,season six finale,5,1,1.0
42,what causes a dead zone in the ocean,excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen,6,1,1.0
43,who is the present governor of puerto rico,Alejandro Javier García Padilla,6,0,0.0
44,what affect does acetylcholine have on the sarcolemma,"can depolarize the muscle fiber , causing a cascade that eventually results in muscle contraction",3,1,1.0
45,who plays claire underwood's mom on house of cards,Ellen Burstyn,7,0,0.0
46,who won the all ireland football final 2017,Dublin,6,1,1.0
47,who played robbie douglas wife on my three sons,Tina Cole,5,1,1.0
48,the most common system of land title in australia,Torrens title,11,0,0.0
49,who sings with jackson brown on the load out,David Lindley,3,1,1.0
50,who sings with jackson brown on the load out,Rosemary Butler,3,1,1.0
51,what happens to dr shepherd on grey's,a fatal car accident,3,1,1.0
52,when does book 2 of the 100 come out,"on September 25 , 2014",13,0,0.0
53,when did the nissan armada body style change,2016,6,1,1.0
54,where does the name down syndrome come from,"John Langdon Down , the British doctor who fully described the syndrome in 1866",8,1,1.0
55,the number on kiss me thru the phone,678 - 999 - 8212,3,1,1.0
56,when does the regular football season start for nfl,"September 7 , 2017",5,0,0.0
57,who sold more albums elvis or micheal jackson,Michael Jackson,12,1,1.0
58,when was the great pyramid of giza created,10 to 20 - year period concluding around 2560 BC,9,1,1.0
59,who sang theres a rat in my kitchen,UB40,6,1,1.0
60,the contribution of agriculture in india's gross domestic product is,13.7 % of the GDP,4,0,0.0
61,who's doing the halftime show in 2018,Justin Timberlake,3,1,1.0
62,when was the first freeway built in los angeles,1940,4,1,1.0
63,when was the wizard of oz made in technicolor,1939,3,1,1.0
64,who played warren in orange is the new black,Uzoamaka Nwanneka `` Uzo '' Aduba,4,0,0.0
65,where did the bataan death march take place,"from Saysain Point , Bagac , Bataan and Mariveles to Camp O'Donnell , Capas , Tarlac , via San Fernando , Pampanga , where the prisoners were loaded onto trains",4,1,1.0
66,where do they put the chip in dogs,usually inserted below the skin at the back of the neck between the shoulder blades on the dorsal midline,3,0,0.0
67,how long will it take voyager to pass through the oort cloud,"about 30,000 years",4,1,1.0
68,an idiopathic condition associated with asprin treatment during certain viral infections,Reye syndrome,5,0,0.0
69,what is the difference between devil's food and chocolate,traditionally has more chocolate than a regular chocolate cake,4,0,0.0
70,who is mariah carey talking about in we belong together,her 1993 marriage to Tommy Mottola,4,1,1.0
71,where is the original statue of david in italy,Florence 's Galleria dell'Accademia,6,0,0.0
72,when did the teton dam break in idaho,"June 5 , 1976",5,1,1.0
73,when was the movie stand by me made,1986,4,1,1.0
74,is the eiffel tower made of steel or iron,wrought iron,2,1,1.0
75,what is the name of the youth loved by salmacis,Hermaphroditus,5,1,1.0
76,what film has the song don't you forget about me,The Breakfast Club,10,1,1.0
77,when was the last time mount saint helens exploded,"May 18 , 1980",10,1,1.0
78,how many 7 elevens are in the world,"66,579",5,1,1.0
79,when do booth and brennan become a couple,At the start of Season 7,4,0,0.0
80,who sang nice one cyril nice one son,Cockerel Chorus,3,1,1.0
81,who sang red red wine in the 80's,Neil Diamond,4,1,1.0
82,who wrote the christmas carol do you hear what i hear,Gloria Shayne Baker,7,1,1.0
83,who wrote the christmas carol do you hear what i hear,Noël Regney,7,1,1.0
84,who plays olivia benson on law and order,Mariska Magdolna Hargitay,4,0,0.0
85,how many copies did fifty shades of grey sell,over 125 million copies,4,1,1.0
86,when was the city of green bay founded,1634,6,1,1.0
87,where do the ilium the ischium and the pubis meet,acetabulum,3,1,1.0
88,who is the founder of pak n save,Foodstuffs,3,1,1.0
89,how many species of plants are found in india,"more than 50,000",4,0,0.0
90,which non-british company owns both the famous british rolls- royce and mini brands,BMW,19,0,0.0
91,how many times have the dodgers gone to world series,19,11,1,1.0
92,at what level is the clavicle with reference to the ribs,directly above the first rib,2,1,1.0
93,when was the writ of habeas corpus created,1679,2,1,1.0
94,where are they playing the john deere classic golf tournament,"TPC Deere Run in the Quad Cities community of Silvis , Illinois",8,1,1.0
95,what types of elements are involved in covalent bonding,atoms,3,1,1.0
96,what types of elements are involved in covalent bonding,electron,3,1,1.0
97,name the highest bridge in the world built by indian army,Baily Bridge,11,1,1.0
98,who wrote an article on war finance titled how to pay for the war,John Maynard Keynes,10,0,0.0
99,where did the cavs play before the gund arena,the Richfield Coliseum,9,1,1.0
100,who won the arms race in the cold war,The United States,11,1,1.0
101,what is the proper term used for the signature given by celebrities to their fans,Autograph,38,1,1.0
102,who owns willy wonka and the chocolate factory,Warner Bros.,7,1,1.0
103,who directed sign of the times music video,Woodkid,10,0,0.0
104,who plays jon snow in game of thrones,Christopher Catesby `` Kit '' Harington,9,0,0.0
105,which term is defined as the chance that a given event will occur,Probability,14,0,0.0
106,when did guardians of the galaxy comic book come out,Jan. 1969,6,0,0.0
107,where is sea level measured in the uk,Newlyn in Cornwall between 1915 and 1921,3,1,1.0
108,80's movie about a kid in a spaceship,Flight of the Navigator,17,0,0.0
109,what are the basic components of a nucleotide,"a nitrogenous base , a five - carbon sugar ( ribose or deoxyribose ) , and at least one phosphate group",13,1,1.0
110,where is the due process clause found in the constitution,The Fifth and Fourteenth Amendments,4,1,1.0
111,who plays the stunt man in the geico commercial,Blake Gibbons,11,0,0.0
112,why is the british parliament known as the mother of parliaments,because of the adoption of the Westminster model of parliamentary democracy by many countries of the former British Empire,16,1,1.0
113,what was the official religion of the soviet union,atheism,9,1,1.0
114,who wrote crazy little thing called love original artist,Freddie Mercury,8,1,1.0
115,who is the actor that plays the good dr,Freddie Highmore,4,0,0.0
116,the resourced based view of the firm (rbv school) is,an economic tool used to determine the strategic resources available to a firm,8,0,0.0
117,the myelin sheath that covers many cns axons is formed by,the concentric wrapping of an oligodendrocyte or Schwann cell process around the axon,5,1,1.0
118,who does frank kill in the wasp factory,three of his relatives : two cousins and his younger brother,5,1,1.0
119,where does the movie gone with the wind take place,the American South,13,1,1.0
120,when did the nba institute the 3 point shot,1979 -- 80 season,5,0,0.0
121,who is the captain of chennai super king,Mahendra Singh Dhoni,4,1,1.0
122,who wrote see you again by miley cyrus,Antonina,13,1,1.0
123,who wrote see you again by miley cyrus,Miley Cyrus,7,1,1.0
124,who wrote see you again by miley cyrus,Antonina Armato,13,1,1.0
125,where is the super bowl being played at this year,"U.S. Bank Stadium in Minneapolis , Minnesota",8,0,0.0
126,where was the newhart show filmed in vermont,The Waybury Inn,13,0,0.0
127,who's line is it anyway original cast,Drew Carey,9,0,0.0
128,who's line is it anyway original cast,Colin Mochrie,3,0,0.0
129,who's line is it anyway original cast,Ryan Stiles,8,0,0.0
130,who's line is it anyway original cast,Wayne Brady,3,0,0.0
131,how many employees does department of education have,"approximately 4,400",6,1,1.0
132,when did the first beanie baby come out,1993,14,1,1.0
133,how much money does argentina make from tourism,over US $22 billion,29,1,1.0
134,where is the macy's thanksgiving day parade held,Manhattan,12,1,1.0
135,what religious groups lived in the new england colonies,Puritans,15,1,1.0
136,where do long-chain fatty acids first enter the bloodstream,"Blood lipids ( or blood fats ) are lipids in the blood , either free or bound to other molecules . They are mostly transported in a protein capsule , and the density of the lipids and type of protein determines the fate of the particle and its influence on metabolism . The concentration of blood lipids depends on intake and excretion from the intestine , and uptake and secretion from cells . Blood lipids are mainly fatty acids and cholesterol . Hyperlipidemia is the presence of elevated or abnormal levels of lipids and / or lipoproteins in the blood , and is a major risk factor for cardiovascular disease .",29,0,0.0
137,where is the retina located in the eye,"innermost , light - sensitive layer , or `` coat '' , of shell tissue of the eye",9,1,1.0
138,who did the voice for elsa in frozen,Spencer Lacey Ganus,7,1,1.0
139,who did the voice for elsa in frozen,Eva Bella,5,1,1.0
140,what episode in season 3 do jim and pam get together,"the season finale , `` The Job , ''",9,1,1.0
141,when does god of war come out for pc,"April 20 , 2018",18,0,0.0
142,how do you pass an amendment to the constitution,must be ratified by either -- as determined by Congress -- the legislatures of three - quarters of the states or state ratifying conventions in three - quarters of the states,10,0,0.0
143,when did croatia finish 3rd in the world cup,1998,4,1,1.0
144,nominated in the best foreign film category at the oscars mother india lost to,Nights of Cabiria,7,1,1.0
145,who played edward 40 hands how i met your mother,Pete Durkensen,11,0,0.0
146,who played edward 40 hands how i met your mother,Marshall,10,1,1.0
147,where does esperanza live in the house on mango street,Chicago,10,1,1.0
148,who is making everyone sick in minor details,Mia,6,1,1.0
149,at the bottom of the hierarchy of needs is,Physiological needs,2,1,1.0
150,the greatest range between consecutive high and low tides occurs at which lunar phase,( full moon ) .,8,0,0.0
151,when did if you don't know me by now come out,in 1972,14,0,0.0
